
episode:75 average_score:2.3
episode:100 average_score:1.6
episode:125 average_score:0.2
episode:150 average_score:0.8
episode:175 average_score:2.8
episode:200 average_score:0.2
episode:225 average_score:2.7
episode:250 average_score:1.2
episode:275 average_score:-3.9
episode:300 average_score:-1.0
episode:325 average_score:1.9
episode:350 average_score:0.0
episode:375 average_score:0.7
episode:400 average_score:0.9
episode:425 average_score:1.2
episode:450 average_score:0.5
episode:475 average_score:0.2
episode:500 average_score:1.6
episode:525 average_score:-2.3
episode:550 average_score:1.0
episode:575 average_score:1.6
episode:600 average_score:0.9
episode:625 average_score:-1.2
episode:650 average_score:2.2
episode:675 average_score:3.2
episode:700 average_score:1.9
episode:725 average_score:-0.9
episode:750 average_score:2.4
episode:775 average_score:0.4
episode:800 average_score:0.9
episode:825 average_score:0.7
episode:850 average_score:2.4
episode:875 average_score:-0.8
episode:900 average_score:-2.7
episode:925 average_score:0.1
episode:950 average_score:-1.1
episode:975 average_score:0.8
episode:1000 average_score:-2.3
episode:1025 average_score:-3.5
episode:1050 average_score:-6.4
episode:1075 average_score:0.1
episode:1100 average_score:1.8
episode:1125 average_score:0.9
episode:1150 average_score:-1.5
episode:1175 average_score:1.0
